战争	7F9E20C7-D8C1-4412-9CBB-0B486B879F79	101.205.131.85	12.3.1	iPhone10,2
战争	056ADE84-E8E1-4526-B9EC-23F3D8459337	112.28.176.114	12.2	iPhone9,1
战争	A1A13F24-6DEE-4F40-979E-996A6BBB3858	42.101.110.67	12.2	iPhone9,2
战争	D3287288-E508-4A11-B641-9991E83454FA	110.53.253.180	11.3.1	iPhone10,2
战争	EF1F8AD0-C081-4CD0-A815-6D1D0494DA71	60.255.139.104	12.1.4	iPhone10,1
战争	2DCA838D-AD87-41E9-A516-91C42A0B1AD7	222.80.200.105	12.2	iPhone11,6
战争	160BA7E5-D041-41EE-9D16-42940E528C7E	39.166.225.137	12.1.4	iPhone10,6
战争	30F4D516-39E3-4B25-9EBA-5F1BA7797246	117.136.85.161	12.2	iPhone10,3
战争	68069DCD-149A-44B0-A2C8-3BC62B7433F4	183.192.232.30	12.2	iPhone11,6
战争	AED7268B-D103-467B-BDF9-846AB681654E	113.231.93.147	12.3.1	iPhone9,1
战争	27D9E06A-2CAD-4738-9DA0-A713E51DC181	112.38.182.195	12.1.2	iPhone9,2
战争	D8A02F14-DE56-4300-A47F-3003207EDF35	113.74.229.116	12.2	iPhone10,1
战争	2A41E035-2232-4198-97E3-5A9B2B049098	106.117.73.202	12.2	iPhone9,2
战争	0407DE57-E694-49E0-8830-8C3E4CE8C116	110.247.226.55	12.3.1	iPhone10,3
战争	25D86E29-E7B8-4A31-A56B-410B0F3833EE	113.103.134.192	12.2	iPhone9,3
战争	9215DCA1-7354-4EAE-AF26-DD5A3707B703	121.235.231.153	12.1.4	iPhone10,1
战争	DB1D20A7-5258-40BE-AD7D-4D648600AB92	211.161.72.135	11.0.3	iPhone9,2
战争	2D6B86ED-BF23-4450-A993-50381E5D36DF	111.163.123.75	12.1.4	iPhone10,2
战争	FCABFE48-2EC8-4D52-AFB3-9286BF519E19	175.30.99.164	12.1.4	iPhone11,8
战争	804DCD8A-2D8B-43D1-B3C8-3DA125E234F6	39.129.3.156	12.3.1	iPhone10,1
战争	6E5D75D1-395B-48C7-AA9D-D3338111D395	111.121.77.8	12.2	iPhone10,1
战争	EBCB9D78-1FFD-4110-A6A5-85AEE08CCA8C	211.97.131.229	12.3.1	iPhone10,2
战争	70F9332B-17D2-416B-96C8-1EB009170B91	120.209.116.185	12.2	iPhone9,2
战争	004CBE7A-CF19-44C3-ABE2-A223CD7C9E6F	58.214.75.11	12.2	iPhone10,2
战争	EBC48CA1-A9CC-4082-B157-5450773DAD8B	223.104.148.156	12.3.1	iPhone11,2
战争	00322536-61E9-45EA-8C1D-35621F2DEF9A	111.29.132.109	12.1.4	iPhone9,2
战争	8DD3B9FF-3EDC-4F67-B665-1D49F59AF745	1.26.182.197	12	iPhone10,3
战争	E4C19F80-7CBE-469B-8AC2-D6FAE665632D	60.190.190.2	12.2	iPhone9,1
战争	03EE7442-91B3-445D-AAF6-C56507598E5C	112.98.165.223	12.2	iPhone9,4
战争	A251F059-E4C9-4371-8ECB-5C5DDCDED14F	113.229.116.170	12.3.1	iPhone9,2
战争	B3760CB0-482A-4B8A-93E1-DEC63D823FFE	153.0.156.28	12.1.4	iPhone10,3
战争	84DCF0DC-3277-4C36-9562-CF5FBF550254	218.62.253.203	12.3.1	iPhone10,3
战争	70C64205-39AB-4644-8832-A3F7E9DE3DB4	171.104.24.82	11.2.5	iPhone9,1
战争	D991E92C-800A-4F97-A409-DBFC0F45F5E5	223.104.145.158	12.1	iPhone9,2
战争	682E1683-9F33-452E-BC16-A0064FA38128	113.245.98.36	12.2	iPhone9,2
战争	800F85F5-0A61-464A-BAC5-9267324B7F60	39.152.208.123	12.2	iPhone9,2
战争	13321240-1563-45D6-BAE6-1D9201B5190A	101.27.87.192	12.2	iPhone10,1
战争	6ED331BB-123F-42B7-B497-FFB832AEBE23	122.97.73.183	12.3.1	iPhone9,2
战争	D0E601E1-8F79-4567-A6E6-70E9EFDD3002	58.62.202.182	12.2	iPhone9,2
战争	CE4824C9-7720-480F-95D4-5411253A34CA	117.136.31.131	11.4.1	iPhone10,3
战争	904D8EE2-E473-496B-850C-AA15B5684449	223.73.8.217	12.1.2	iPhone9,3
战争	14396480-03F4-4C8C-8DA0-F673AF6E7E33	119.164.169.212	12.2	iPhone10,2
战争	F7F021AC-B943-4E1B-A36C-19DD0D2AA7F8	223.90.25.242	12.2	iPhone9,1
战争	F1D0ABD8-10AF-48B7-A645-B3AC3B7FA89E	114.229.185.147	12.3	iPhone9,2
战争	DE13A04E-F9B4-441B-B2F5-82CC94C81D1E	223.157.117.55	12.2	iPhone9,2
战争	98478198-0736-48FA-B47F-5B91CA1C86F2	123.147.246.159	12.3.1	iPhone10,2
战争	2E073E3F-C1A9-4BC5-8BFE-9804DD653414	123.165.140.225	12.1.2	iPhone9,2
战争	FE962F35-B357-402B-9AFA-6D51B8E8B206	117.136.75.179	12	iPhone9,2
